Protein ID,Rank Score, Type
YDR237W,0.00079618666351,Essential
YDR108W,0.000795147033993,Essential
YKL045W,0.000795064474462,Essential
YHR187W,0.000793524516909,Essential
YGR120C,0.000791906043394,Essential
YOL127W,0.000790934227984,Shore
YDR091C,0.000790675882853,Shore
YPL151C,0.000788697685923,Essential
YAL001C,0.000787860658302,Essential
YOL117W,0.000787777551439,Essential
YGR083C,0.000785998977743,Essential
YBR031W,0.000785983694794,Fjord
YBR119W,0.000784435361958,Essential
YJL190C,0.00078375866366,Fjord
YBR097W,0.000783373426292,Essential
YDR311W,0.000779473679946,Essential
YOL069W,0.000779234429888,Essential
YNL287W,0.000776810520239,Essential
YMR078C,0.000775676075234,Bridge
YML067C,0.000775412379563,Essential
YLR186W,0.000772823647228,Essential
YMR116C,0.000772053972488,Fjord
YER155C,0.000769583535456,Bridge
YGR232W,0.000769340422441,Essential
YBR130C,0.000767412669206,Essential
YDL076C,0.000766853250668,Shore
YDR362C,0.000766793231324,Essential
YCR028C-A,0.000765893379274,Fjord
YML065W,0.0007643497626,Essential
YKR026C,0.000763535789433,Essential
YDR416W,0.000761772338155,Essential
YDL155W,0.000761703458346,Essential
YPR179C,0.000760436426993,Essential
YDL030W,0.000760194770722,Essential
YDR245W,0.000759746775021,Essential
YNL261W,0.000759489483219,Essential
YDR318W,0.000758157329704,Essential
YKL009W,0.000756978525968,Essential
YNL258C,0.000755988732983,Essential
YFL013C,0.000755425685049,Essential
YGL049C,0.000755171404851,Essential
YLR439W,0.000755140095212,Essential
YGR081C,0.000754221219881,Shore
YLR409C,0.0007539689638,Essential
YDL195W,0.000751536565237,Essential
YDR028C,0.000749642493908,Essential
YHR119W,0.000748949307182,Essential
YNL021W,0.000747971066558,Essential
YDL156W,0.000747679126478,Essential
YJL124C,0.000745537873572,Essential
YGL197W,0.000744239416485,Essential
YPL220W,0.000743468697898,Shore
YPR055W,0.000743071752327,Essential
YOR326W,0.000741004911603,Essential
YFR009W,0.00074021353902,Shore
YGR047C,0.00073952826816,Essential
YDL140C,0.000736963367827,Essential
YMR218C,0.000735695425708,Essential
YHR058C,0.000735224745151,Essential
YPR082C,0.000734339647834,Essential
YGL106W,0.000732882491156,Essential
YLR222C,0.000731878656412,Essential
YOR014W,0.000731555743734,Essential
YJL069C,0.000730750602992,Essential
YGL223C,0.000728352201247,Essential
YKL211C,0.00072720844757,Essential
YPL256C,0.000726638689401,Essential
YDL066W,0.0007253609359,Essential
YPL061W,0.000724856783373,Essential
YJR002W,0.000724463900108,Essential
YGL022W,0.000719281539296,Essential
YNL102W,0.000713021054794,Essential
YJR033C,0.00071278283074,Fjord
YMR005W,0.000712734958866,Essential
YIL034C,0.000710445211875,Essential
YKL080W,0.000710199873208,Essential
YDR174W,0.000708119769754,Essential
YPR175W,0.000706513191881,Fjord
YOR340C,0.000705847337493,Essential
YGR200C,0.000704617882752,Essential
YOR290C,0.000702219321633,Essential
YPL237W,0.000700988468277,Essential
YGL100W,0.000700555811967,Essential
YLR015W,0.000699566302241,Essential
YML069W,0.000695974946249,Shore
YLR335W,0.000693691383945,Essential
YNL248C,0.000692231976574,Essential
YHR118C,0.000690133334672,Essential
YIL109C,0.000689295553394,Essential
YHL011C,0.000688775730892,Shore
YLR310C,0.000688428667754,Essential
YNL041C,0.000688126220421,Essential
YOR267C,0.000686638267023,Essential
YNL005C,0.000686402322296,Essential
YDR283C,0.00068477939021,Shore
YLR048W,0.000684100586618,Bridge
YER027C,0.000683939781968,Essential
YMR142C,0.000683286155249,Shore
YKL057C,0.000682130450032,Essential
YER178W,0.000681623309189,Essential
YLL040C,0.000680262278223,Essential
YNL004W,0.000678306366159,Essential
YPL266W,0.000677904005545,Essential
YOR141C,0.000676232935491,Essential
YDR517W,0.000675038067296,Bridge
YMR012W,0.00067497430914,Essential
YJR075W,0.000674809879565,Essential
YDR155C,0.000673394991727,Essential
YER151C,0.000671200567167,Essential
YLR330W,0.000671078043095,Essential
YHR110W,0.000669891867178,Essential
YHR148W,0.000669074534839,Essential
YMR197C,0.00066905935245,Essential
YJR109C,0.000668552405162,Shore
YJR113C,0.000666667701396,Essential
YJL029C,0.000666506805817,Essential
YGL244W,0.000665925975935,Essential
YNL151C,0.000664570393451,Essential
YLR002C,0.000664204925927,Essential
YDR422C,0.000663390812503,Essential
YIR003W,0.000663230179731,Essential
YER148W,0.000662546930875,Shore
YMR024W,0.00066156673817,Essential
YFR050C,0.000661321753233,Essential
YKL130C,0.000660653146416,Essential
YDL098C,0.000658978821805,Essential
YJR092W,0.00065742780957,Essential
YDR148C,0.000656697656431,Essential
YNL182C,0.000656218567406,Essential
YDR434W,0.000654506517984,Fjord
YBR136W,0.000653970788586,Essential
YLR384C,0.000653509367409,Essential
YPL118W,0.000652197200814,Essential
YMR186W,0.000650853956436,Shore
YNL262W,0.000650785350159,Fjord
YOR117W,0.000648846564572,Essential
YBR049C,0.00064861689604,Essential
YJR007W,0.000647706588461,Essential
YNL252C,0.000646860978341,Essential
YDL134C,0.00064599536041,Essential
YLL008W,0.000645573089799,Essential
YCR077C,0.000645394816649,Essential
YPR162C,0.000642781367865,Essential
YFR049W,0.000641751467261,Essential
YNL055C,0.000641342131235,Fjord
YGL208W,0.00064129208495,Essential
YGL252C,0.000639655769627,Essential
YPL226W,0.000638011787741,Essential
YFR040W,0.000637743284454,Shore
YGR281W,0.000636763302553,Essential
YMR199W,0.000636583865675,Essential
YNL306W,0.000635518096869,Essential
YBR146W,0.000634529580323,Essential
YMR237W,0.000633084220096,Essential
YPL011C,0.000628681721058,Essential
YCR081W,0.000628145575531,Essential
YBR109C,0.000627027779455,Essential
YJL081C,0.000626953515451,Essential
YBR193C,0.000625588772062,Essential
YBR175W,0.000624907611842,Essential
YPR036W,0.000623663974215,Essential
YGR135W,0.000623239353275,Essential
YDR337W,0.000622541788726,Essential
YIL093C,0.000621893481816,Essential
YDR407C,0.000621566540785,Essential
YDL143W,0.000620302698594,Essential
